Time,USD
Jan-01,9450
Feb-01,9835
Mar-01,10400
Apr-01,11675
May-01,11058
Jun-01,11440
Jul-01,9525
Aug-01,8865
Sep-01,9675
Oct-01,10435
Nov-01,10430
Dec-01,10400
Jan-02,10320
Feb-02,10189
Mar-02,9655
Apr-02,9316
May-02,8785
Jun-02,8730
Jul-02,9108
Aug-02,8867
Sep-02,9015
Oct-02,9233
Nov-02,8976
Dec-02,8940
Jan-03,8876
Feb-03,8905
Mar-03,8908
Apr-03,8675
May-03,8279
Jun-03,8285
Jul-03,8505
Aug-03,8535
Sep-03,8389
Oct-03,8495
Nov-03,8537
Dec-03,8465
Jan-04,8441
Feb-04,8447
Mar-04,8587
Apr-04,8661
May-04,9210
Jun-04,9415
Jul-04,9168
Aug-04,9328
Sep-04,9710
Oct-04,9090
Nov-04,9018
Dec-04,9290
Jan-05,9165
Feb-05,9260
Mar-05,9480
Apr-05,9570
May-05,9495
Jun-05,9713
Jul-05,9819
Aug-05,10240
Sep-05,10310
Oct-05,10090
Nov-05,10035
Dec-05,9830
Jan-06,9395
Feb-06,9230
Mar-06,9075
Apr-06,8775
May-06,9220
Jun-06,9300
Jul-06,9070
Aug-06,9100
Sep-06,9235
Oct-06,9110
Nov-06,9165
Dec-06,9020
Jan-07,9090
Feb-07,9160
Mar-07,9118
Apr-07,8828
May-07,8828
Jun-07,9054
Jul-07,9186
Aug-07,9410
Sep-07,9137
Oct-07,9103
Nov-07,9376
Dec-07,9419
Jan-08,9291
Feb-08,9230
Mar-08,9217
Apr-08,9234
May-08,9318
Jun-08,9225
Jul-08,9118
Aug-08,9153
Sep-08,9378
Oct-08,10995
Nov-08,12151
Dec-08,10950
Jan-09,11355
Feb-09,11980
Mar-09,11575
Apr-09,10713
May-09,10340
Jun-09,10225
Jul-09,9920
Aug-09,10060
Sep-09,9681
Oct-09,9545
Nov-09,9480
Dec-09,9400
Jan-10,9365
Feb-10,9335
Mar-10,9115
Apr-10,9012
May-10,9180
Jun-10,9083
Jul-10,8952
Aug-10,9041
Sep-10,8924
Oct-10,8928
Nov-10,9013
Dec-10,8991
Jan-11,9057
Feb-11,8823
Mar-11,8709
Apr-11,8574
May-11,8537
Jun-11,8597
Jul-11,8508
Aug-11,8578
Sep-11,8823
Oct-11,8835
Nov-11,9170
Dec-11,9068
Jan-12,9000
Feb-12,9085
Mar-12,9180
Apr-12,9190
May-12,9565
Jun-12,9480
Jul-12,9485
Aug-12,9560
Sep-12,9588
Oct-12,9615
Nov-12,9605
Dec-12,9670
Jan-13,9698
Feb-13,9667
Mar-13,9719
Apr-13,9722
May-13,9802
Jun-13,9929
Jul-13,10278
Aug-13,10924
Sep-13,11613
Oct-13,11234
Nov-13,11977
Dec-13,12189
Jan-14,12226
Feb-14,11634
Mar-14,11404
Apr-14,11532
May-14,11611
Jun-14,11969
Jul-14,11591
Aug-14,11717
Sep-14,12212
Oct-14,12082
Nov-14,12196
Dec-14,12440
Jan-15,12625
Feb-15,12863
Mar-15,13084
Apr-15,12937
May-15,13211
Jun-15,13332
Jul-15,13481
Aug-15,14027
Sep-15,14657
Oct-15,13639
Nov-15,13840
Dec-15,13795
Jan-16,13846
Feb-16,13395
Mar-16,13276
Apr-16,13204
May-16,13615
Jun-16,13180
Jul-16,13094
Aug-16,13300
Sep-16,12998
Oct-16,13051
Nov-16,13563
Dec-16,13436
Jan-17,13343
Feb-17,13347
Mar-17,13321
Apr-17,13327
May-17,13321
Jun-17,13319
Jul-17,13323
Aug-17,13351
Sep-17,13492
Oct-17,13572
Nov-17,13514
Dec-17,13548
Jan-18,13413
Feb-18,13707
Mar-18,13756
Apr-18,13877
May-18,13951
Jun-18,14404
Jul-18,14413
Aug-18,14711
Sep-18,14929
Oct-18,15227
Nov-18,14339
Dec-18,14481
Jan-19,14072
Feb-19,14062
Mar-19,14244
Apr-19,14215
May-19,14385
Jun-19,14141
Jul-19,14026
Aug-19,14237
Sep-19,14174
Oct-19,14008
Nov-19,14102
Dec-19,13901
Jan-20,13662
Feb-20,14234
Mar-20,16367
Apr-20,15157
May-20,14733
Jun-20,14302
Jul-20,14653
Aug-20,14554
Sep-20,14918
Oct-20,14690
Nov-20,14128
